County,Name,Address,City,State,Zip,Latitude,Longitude
Allegany,Fort Hill High,500 Greenway Ave,Cumberland,MD,21502,39.644296,-78.748042
Allegany,Center for Career & Technical Education,14211 Mcmullen Hwy Sw,Cresaptown,MD,21502,39.608042,-78.818923
Allegany,Allegany High,616 Sedgwick St,Cumberland,MD,21502,39.656597,-78.775075
Allegany,Mountain Ridge High School,100 Dr. Nancy S. Grasmick,Frostburg,MD,21532,39.65052,-78.913283
Anne Arundel,Glen Burnie High,7550 Baltimore Annapolis Blvd,Glen Burnie,MD,21060,39.15983,-76.61679
Anne Arundel,North County High,10 East 1st Avenue,Glen Burnie,MD,21061,39.193021,-76.637481
Anne Arundel,Severna Park High,60 Robinson Rd,Severna Park,MD,21146,39.077646,-76.558066
Anne Arundel,Northeast High,1121 Duvall Hwy,Pasadena,MD,21122,39.144473,-76.528616
Anne Arundel,Anne Arundel Evening High,60 Robinson Road,Severna Park,MD,21146,39.077646,-76.558066
Anne Arundel,Chesapeake High,4798 Mountain Rd,Pasadena,MD,21122,39.135399,-76.593729
Anne Arundel,Broadneck High,1265 Green Holly Dr,Annapolis,MD,21409,39.039813,-76.453515
Anne Arundel,Arundel High,1001 Annapolis Rd,Gambrills,MD,21054,39.070839,-76.682707
Anne Arundel,Meade High,1100 Clark Road,Ft Meade,MD,20755,39.123116,-76.738507
Anne Arundel,Old Mill High,600 Patriot Ln,Millersville,MD,21108,39.123194,-76.627494
Anne Arundel,Annapolis High,2700 Riva Rd,Annapolis,MD,21401,38.974531,-76.565443
Anne Arundel,Southern High,4400 Solomons Island Rd,Harwood,MD,20776,38.868304,-76.619016
Anne Arundel,South River High,201 Central Ave  E,Edgewater,MD,21037,38.921185,-76.558747
Baltimore County,Extended Day Learning Program,105 W. Chesapeake Avenue,Towson,MD,21204,39.39938,-76.606104
Baltimore County,Home Assignments-Secondary,105 W. Chesapeake Avenue,Towson,MD,21204,39.39938,-76.606104
Baltimore County,BCDC Educational Center,105 W. Chesapeake Avenue,Towson,MD,21204,39.39938,-76.606104
Baltimore County,Catonsville Center for Alternative Studies,901 S Rolling Rd,Baltimore,MD,21228,39.252627,-76.725036
Baltimore County,Woodlawn High Center for Pre-Eng. Res.,1801 Woodlawn Dr,Baltimore,MD,21207,39.315479,-76.734332
Baltimore County,Catonsville High,421 Bloomsbury Ave,Baltimore,MD,21228,39.2593,-76.731901
Baltimore County,Western School of Technology & Env. Science,100 Kenwood Ave,Baltimore,MD,21228,39.269387,-76.712722
Baltimore County,Milford Mill Academy,3800 Washington Ave,Baltimore,MD,21207,39.35674,-76.749912
Baltimore County,Randallstown High,4000 Offutt Rd,Randallstown,MD,21133,39.382877,-76.798536
Baltimore County,Pikesville High,7621 Labyrinth Rd,Baltimore,MD,21208,39.377236,-76.698628
Baltimore County,Owings Mills High,124 Tollgate Rd,Owings Mills,MD,21117,39.423503,-76.795131
Baltimore County,Franklin High,12000 Reisterstown Rd,Reisterstown,MD,21136,39.446419,-76.818419
Baltimore County,New Town High,4931 New Town Blvd,Owings Mills,MD,21117,39.403221,-76.812427
Baltimore County,Hereford High,17301 York Rd,Parkton,MD,21120,39.599302,-76.659584
Baltimore County,Dulaney High,255 Padonia Road,Timonium,MD,21093,39.455436,-76.637641
Baltimore County,Towson High Law & Public Policy,69 Cedar Ave,Towson,MD,21286,39.390599,-76.600741
Baltimore County,Parkville High & Center for Math/Science,2600 Putty Hill Ave,Baltimore,MD,21234,39.388606,-76.539343
Baltimore County,Loch Raven High,1212 Cowpens Ave,Baltimore,MD,21286,39.404867,-76.563724
Baltimore County,George W. Carver Center for Arts & Technology,938 York Rd,Towson,MD,21204,39.408525,-76.611007
Baltimore County,Perry Hall High,4601 Ebenezer Rd,Baltimore,MD,21236,39.392376,-76.46449
Baltimore County,Patapsco High & Center for Arts,8100 Wise Ave,Baltimore,MD,21222,39.262159,-76.481317
Baltimore County,Dundalk High,1901 Delvale Ave,Baltimore,MD,21222,39.266882,-76.5162
Baltimore County,Lansdowne High & Academy of Finance,3800 Hollins Ferry Rd,Baltimore,MD,21227,39.246097,-76.652862
Baltimore County,Overlea High & Academy of Finance,5401 Kenwood Ave,Baltimore,MD,21206,39.34986,-76.511768
Baltimore County,Kenwood High IB and Sports Science,501 Stemmers Run Rd,Baltimore,MD,21221,39.323902,-76.458144
Baltimore County,Sparrows Point High,7400 N Point Rd,Sparrows Point,MD,21219,39.238959,-76.441575
Baltimore County,Chesapeake High,1801 Turkey Point Rd,Baltimore,MD,21221,39.292612,-76.419271
Baltimore County,Eastern Technical High School,1100 Mace Ave,Baltimore,MD,21221,39.325118,-76.473182
Calvert,Patuxent High,12485 Southern Connector Boulevard,Lusby,MD,20657,38.354696,-76.440436
Calvert,Calvert High,520 Fox Run Blvd,Prince Frederick,MD,20678,38.553412,-76.592443
Calvert,Calvert County Alternative School,520 Fox Run Blvd,Prince Frederick,MD,20678,38.553412,-76.592443
Calvert,Huntingtown High School,4125 N Solomons Island Rd,Huntingtown,MD,20639,38.618739,-76.607916
Calvert,Northern High,2950 Chaneyville Rd,Owings,MD,20736,38.685369,-76.652936
Caroline,North Caroline High School,10990 River Rd,Ridgely,MD,21660,38.908715,-75.839574
Caroline,Colonel Richardson High School,25320 Richardson Rd,Federalsburg,MD,21632,38.754641,-75.825741
Carroll,Francis Scott Key High,3825 Bark Hill Rd,Union Bridge,MD,21791,39.592231,-77.132792
Carroll,Liberty High,5855 Bartholow Rd,Sykesville,MD,21784,39.413369,-76.952726
Carroll,Century High,355 Ronsdale Rd,Sykesville,MD,21784,39.425884,-76.991329
Carroll,Manchester Valley High,3300 Maple Grove Rd,Manchester,MD,21102,39.654031,-76.878921
Carroll,Winters Mill High,560 Gorsuch Rd,Westminster,MD,21157,39.571466,-76.976944
Carroll,Westminster High,1225 Washington Rd,Westminster,MD,21157,39.541535,-76.9926
Carroll,Gateway School,45 Kate Wagner Rd,Westminster,MD,21157,39.534873,-76.990583
Carroll,Flexible Student Support,45 Kate Wagner Rd,Westminster,MD,21157,39.534873,-76.990583
Carroll,Carroll Springs School,495 S Center St,Westminster,MD,21157,39.560306,-76.991672
Carroll,Post Secondary Program,495 S Center St,Westminster,MD,21157,39.560306,-76.991672
Carroll,South Carroll High,1300 W Old Liberty Rd,Sykesville,MD,21784,39.443016,-77.0414
Cecil,Bohemia Manor High,2755 Augustine Herman Hwy,Chesapeake City,MD,21915,39.51085,-75.830926
Cecil,Elkton High,110 James St,Elkton,MD,21921,39.622863,-75.834649
Cecil,North East High,300 Irishtown Rd,North East,MD,21901,39.586527,-75.933096
Cecil,Perryville High,1696 Perryville Rd,Perryville,MD,21903,39.580898,-76.062348
Cecil,Rising Sun High,100 Tiger Dr,North East,MD,21901,39.692776,-75.972348
Charles,La Plata High School,6035 Radio Station Rd,La Plata,MD,20646,38.546345,-76.948435
Charles,Maurice J. McDonough High School,7165 Marshall Corner Rd,Pomfret,MD,20675,38.555971,-77.03556
